model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_298,10.738,,,,0.8,"[138, 296, 146, 50, 149, 260, 382]",7,"{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_299,69.898,,,,0.87,"[100, 256, 68, 289, 1, 382]",6,"{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_300,12.138,,,,0.85,"[124, 3, 192, 48, 162, 68, 163, 382]",8,"{""0"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""6"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_301,5.194,,,,0.51,"[158, 351, 342, 249, 35, 382]",6,"{""0"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_302,19.608,,,,0.51,"[314, 2, 8, 79, 99, 34, 164, 64, 133, 382]",10,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""6"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""7"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""8"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""9"": [2, ""softmax""]}"
model_303,118.632,,,,0.79,"[292, 118, 267, 382]",4,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_304,28.674,,,,0.51,"[112, 347, 269, 382]",4,"{""0"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_305,14.315999999999999,,,,0.51,"[208, 253, 294, 172, 288, 271, 98, 382]",8,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""7"": [2, ""softmax""]}"
model_306,0.446,,,,0.51,"[359, 270, 345, 46, 257, 351, 382]",7,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_307,6.3020000000000005,,,,0.49,"[177, 19, 332, 136, 11, 221, 378, 382]",8,"{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""6"": [""Dense"", 36, ""relu""], ""7"": [2, ""softmax""]}"
model_308,3.554,,,,0.51,"[114, 263, 238, 326, 382]",5,"{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [2, ""softmax""]}"
model_309,20.305999999999997,,,,0.78,"[48, 68, 103, 233, 112, 172, 153, 382]",8,"{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""6"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_310,11.402000000000001,,,,0.51,"[113, 320, 181, 328, 211, 260, 141, 219, 16, 216, 382]",11,"{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""6"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""9"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""10"": [2, ""softmax""]}"
model_311,1.88,,,,0.49,"[324, 92, 353, 221, 219, 382]",6,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_312,3.498,,,,0.51,"[92, 199, 304, 88, 253, 327, 210, 262, 10, 336, 382]",11,"{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""8"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""9"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""10"": [2, ""softmax""]}"
model_313,12.01,,,,0.8,"[91, 68, 185, 382]",4,"{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_314,17.128,,,,0.83,"[215, 128, 180, 382]",4,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [2, ""softmax""]}"
model_315,12.122,,,,0.72,"[132, 94, 342, 291, 104, 130, 188, 382]",8,"{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""7"": [2, ""softmax""]}"
model_316,6.353,,,,0.67,"[270, 83, 129, 382]",4,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_317,4.28,,,,0.81,"[184, 57, 282, 332, 382]",5,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_318,4.442,,,,0.51,"[146, 333, 293, 309, 382]",5,"{""0"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_319,3.562,,,,0.73,"[18, 288, 131, 222, 240, 59, 382]",7,"{""0"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_320,43.248999999999995,,,,0.49,"[301, 166, 207, 121, 161, 382]",6,"{""0"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_321,43.54600000000001,,,,0.87,"[90, 28, 131, 158, 382]",5,"{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [2, ""softmax""]}"
model_322,61.361999999999995,,,,0.82,"[85, 27, 46, 382]",4,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_323,10.950999999999999,,,,0.51,"[244, 338, 41, 255, 194, 119, 188, 166, 53, 72, 218, 382]",12,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""7"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""8"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""9"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""10"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""11"": [2, ""softmax""]}"
model_324,10.784,,,,0.49,"[325, 54, 281, 177, 150, 252, 299, 12, 164, 287, 347, 330, 381, 261, 382]",15,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""7"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""8"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""9"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""10"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""11"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""12"": [""dropout"", 0.2], ""13"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""14"": [2, ""softmax""]}"
model_325,2.488,,,,0.77,"[336, 12, 281, 266, 363, 382]",6,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Dense"", 8, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_326,0.45799999999999996,,,,0.51,"[27, 336, 294, 346, 262, 382]",6,"{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_327,15.242,,,,0.78,"[83, 258, 148, 89, 131, 98, 382]",7,"{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
model_328,4.494,,,,0.51,"[254, 344, 198, 27, 184, 208, 270, 382]",8,"{""0"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""7"": [2, ""softmax""]}"
model_329,46.586000000000006,,,,0.81,"[79, 212, 230, 382]",4,"{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_330,7.112,,,,0.77,"[181, 137, 328, 168, 246, 12, 382]",7,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_331,99.354,,,,0.51,"[171, 125, 249, 349, 363, 382]",6,"{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Dense"", 8, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_332,22.058000000000003,,,,0.61,"[75, 168, 225, 382]",4,"{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_333,8.746,,,,0.51,"[27, 38, 22, 137, 153, 25, 189, 183, 71, 196, 382]",11,"{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""10"": [2, ""softmax""]}"
model_334,0.736,,,,0.51,"[352, 33, 204, 201, 382]",5,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_335,7.482,,,,0.6,"[7, 162, 132, 251, 48, 382]",6,"{""0"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_336,0.161,,,,0.51,"[323, 215, 318, 312, 382]",5,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_337,73.506,,,,0.8,"[98, 128, 123, 223, 382]",5,"{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_338,6.482,,,,0.8,"[42, 41, 134, 274, 318, 382]",6,"{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_339,5.397,,,,0.51,"[314, 211, 310, 19, 264, 172, 209, 149, 218, 331, 382]",11,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""9"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""10"": [2, ""softmax""]}"
model_340,5.641,,,,0.76,"[345, 176, 29, 218, 382]",5,"{""0"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [2, ""softmax""]}"
model_341,0.8240000000000001,,,,0.51,"[248, 320, 324, 297, 329, 104, 382]",7,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
